category,name,description,price,badge
Hot Coffee,Espresso,Single-origin Ethiopian Yirgacheffe pulled as a classic espresso shot. Bright citrus notes with a delicate floral finish.,150,
Hot Coffee,Cappuccino,Rich espresso topped with silky steamed milk and a thick layer of microfoam. A balanced classic with a light cocoa finish.,190,
Hot Coffee,Cafe Latte,Smooth espresso layered with steamed milk and a whisper of foam. Creamy and gentle with notes of caramel.,210,
Hot Coffee,Flat White,Double ristretto shot married with velvety micro-foamed milk. Bold and rounded with a nutty undertone.,220,
Hot Coffee,Single-Origin Pour-Over,Hand-poured Chikmagalur beans brewed drip-style for a clean cup. Notes of stone fruit and honeyed sweetness shine through.,280,
Hot Coffee,South Indian Filter Coffee,Traditional filter-brewed decoction blended with frothy hot milk. Deep chicory-kissed aroma and comforting sweetness.,140,House Special
Cold Coffee,Cold Brew,Single-origin Coorg beans steeped slow and cold for eighteen hours. Smooth low-acid body with notes of dark chocolate and caramel.,230,
Cold Coffee,Iced Latte,Chilled espresso poured over cold milk and ice. Light and creamy with a subtle sweetness.,230,
Cold Coffee,Nitro Cold Brew,Cold brew infused with nitrogen for a cascading creamy pour. Velvety texture with a naturally sweet finish.,260,
Cold Coffee,Affogato,A scoop of vanilla bean gelato drowned in a hot espresso shot. Warm and cold in one indulgent sip.,250,
Cold Coffee,Iced Americano,Espresso shots stretched over chilled water and ice. Crisp and refreshing with bright acidity.,190,
Cold Coffee,Classic Cold Coffee,Chilled coffee blended with milk and a scoop of ice cream. A nostalgic favorite topped with chocolate shavings.,210,
Tea,Masala Chai,Robust Assam tea simmered with ginger and warming spices. Sweet milky and deeply comforting.,90,Popular
Tea,Darjeeling First Flush,Delicate high-altitude leaves steeped for a light muscatel cup. Floral and subtly fruity.,180,
Tea,Assam Golden Tip,Full-bodied malty tea from the Brahmaputra valley. Bold and brisk with a honeyed finish.,160,
Tea,Jasmine Green Tea,Green tea leaves scented with fresh jasmine blossoms. Light floral aroma with a clean grassy finish.,170,
Tea,Nilgiri Iced Tea,Chilled Nilgiri tea brewed bright and lightly sweetened. Fragrant and refreshing over ice.,180,
Tea,Chamomile Herbal Infusion,Caffeine-free chamomile flowers steeped for a soothing cup. Gentle honeyed and floral.,160,
Pastries,Butter Croissant,Laminated French-style pastry baked until golden and flaky. Buttery layers with a delicate crisp shell.,140,
Pastries,Almond Croissant,Buttery croissant filled with almond cream and topped with toasted almonds. Rich nutty and lightly sweet.,170,
Pastries,Chocolate Hazelnut Tart,Dark chocolate ganache set in a crisp tart shell with roasted hazelnuts. Decadent and silky.,220,
Pastries,Banana Walnut Bread,Moist banana loaf studded with toasted walnuts. Warm caramelized sweetness in every slice.,150,
Pastries,Blueberry Muffin,Soft vanilla muffin loaded with juicy blueberries. Lightly crumbled sugar topping for extra crunch.,160,
Pastries,Cardamom Bun,Swedish-style yeasted bun swirled with cardamom and cinnamon sugar. Warm spiced and pillowy soft.,130,
Sandwiches,Classic Club Sandwich,Toasted bread layered with chicken bacon egg lettuce and tomato. Hearty and satisfying with a smoky finish.,320,
Sandwiches,Caprese Grilled Sandwich,Fresh mozzarella and tomato with basil pesto on grilled ciabatta. Light and herbaceous with a tangy finish.,280,
Sandwiches,Paneer Tikka Sandwich,Chargrilled paneer tossed in tandoori spices layered with mint chutney and onions. Smoky and tangy with a satisfying bite.,260,
Sandwiches,Smoked Chicken and Cheese Panini,Smoked chicken and melted cheddar pressed between rustic bread. Warm gooey and deeply savory.,340,
Sandwiches,Avocado and Hummus Sandwich,Creamy avocado and hummus layered with sprouts and cucumber on multigrain bread. Fresh light and packed with texture.,300,
Sandwiches,Bombay Masala Toast,Spiced potato filling grilled between buttered bread with green chutney. A street-food classic done cafe-style.,180,
Specials,Siphon Brewed Single Origin,Theatrical vacuum-brewed coffee using rare Kerala Monsooned Malabar beans. Clean and full-bodied with earthy spice notes.,450,Seasonal
Specials,Aeropress Flight,Two single-origin beans brewed side-by-side for a guided tasting. A hands-on journey through terroir and roast.,480,
Specials,Coffee Cupping Flight,Three microlot coffees tasted the way roasters do it. Guided flavor notes from floral to chocolatey.,500,
Specials,Chef's All-Day Breakfast Platter,Eggs your way with sourdough toast sauteed mushrooms and herbed potatoes. A hearty plate built for lingering mornings.,420,
Specials,Filter Coffee Tiramisu,Classic tiramisu soaked in South Indian filter coffee instead of espresso. Creamy mascarpone with a distinctly Indian twist.,260,
Hot Coffee,Malabar Spiced Mocha,Espresso blended with dark chocolate and a warm Kerala Malabar spice mix finished with steamed milk and a dusting of cocoa. Rich earthy and gently spiced.,240,
